PP,Soc_NonSoc,StimImage,ValenceUserChoice
61,Social,fam1reading.jpg,6
61,NonSocial,cake3.jpg,7
61,Social,8496.jpg,7
61,Social,SnewIAPS36.jpg,6
61,NonSocial,cake7border.jpg,5
61,Social,Snewes8black.jpg,6
61,Social,smile1.jpg,6
61,Social,family2.jpg,7
61,NonSocial,NSnew7.jpg,5
61,NonSocial,NSnew12.jpg,5
61,Social,Snewes42.jpg,7
61,NonSocial,cake8borderLum.jpg,7
61,NonSocial,NSnew14.jpg,6
61,Social,Snews2Lum.jpg,6
61,Social,SnewIAPS13.jpg,7
61,NonSocial,7260.jpg,5
61,NonSocial,7430Lum.jpg,8
61,Social,SnewIAPS35.jpg,6
61,NonSocial,8531Lum.jpg,5
61,Social,5830.jpg,6
61,NonSocial,5001.jpg,5
61,NonSocial,NSnew30.jpg,5
61,Social,SnewIAPS28.jpg,4
61,Social,2165.jpg,6
61,NonSocial,pizza.jpg,8
61,NonSocial,NSadj34rjborderLum.jpg,9
62,NonSocial,pizza3.jpg,7
62,NonSocial,NSadj36apaintrj.jpg,8
62,Social,family.jpg,6
62,NonSocial,7508.jpg,6
62,Social,SnewIAPS36.jpg,9
62,NonSocial,7281.jpg,7
62,NonSocial,cake3.jpg,8
62,Social,wedding2.jpg,7
62,Social,Snewes38border.jpg,9
62,Social,Snews26.jpg,4
62,Social,SnewIAPS28.jpg,6
62,NonSocial,5480.jpg,7
62,Social,SnewIAPS31.jpg,7
62,NonSocial,ferrari2.jpg,3
62,NonSocial,7350.jpg,7
62,Social,Snews27.jpg,9
62,Social,SnewIAPS8.jpg,9
62,Social,8496.jpg,9
62,NonSocial,cake7border.jpg,7
62,Social,childreadingborder.jpg,9
62,NonSocial,ring2Lum.jpg,5
62,Social,smile6.jpg,9
62,Social,5628.jpg,7
62,NonSocial,choco9border.jpg,8
62,Social,wedding.jpg,8
62,NonSocial,chips.jpg,4
62,NonSocial,pizza.jpg,7
62,Social,Snewes8black.jpg,5
62,Social,smile1.jpg,9
62,NonSocial,NSnew14.jpg,8
62,NonSocial,7400.jpg,7
62,NonSocial,yatch.jpg,9
62,NonSocial,5779.jpg,8
62,Social,Snews25.jpg,9
62,NonSocial,8531Lum.jpg,3
62,Social,2165.jpg,9
62,NonSocial,5001.jpg,8
62,Social,SnewIAPS35.jpg,7
62,NonSocial,7270Lum.jpg,7
62,Social,Snewes7Lum.jpg,9
62,NonSocial,7260.jpg,6
62,Social,wedding3.jpg,8
62,NonSocial,NSadj1ns21rjLum.jpg,6
62,Social,family2.jpg,8
62,NonSocial,NSnew30.jpg,5
62,Social,5830.jpg,8
62,Social,SnewIAPS13.jpg,8
62,NonSocial,cake2.jpg,5
62,NonSocial,8503.jpg,3
62,NonSocial,7430Lum.jpg,6
62,Social,Snewes42.jpg,9
62,Social,Snews7.jpg,3
62,NonSocial,5760Lum.jpg,7
62,Social,smilee.jpg,9
62,NonSocial,NSadj1ns1rj.jpg,8
62,NonSocial,NSadj34rjborderLum.jpg,7
62,NonSocial,cake8borderLum.jpg,7
62,Social,Snews5.jpg,5
62,NonSocial,NSnew12.jpg,6
62,Social,fam1reading.jpg,8
62,Social,SnewIAPS17.jpg,7
62,Social,SnewIAPS29Lum.jpg,5
62,NonSocial,NSnew3Lum.jpg,4
62,Social,SnewIAPS27.jpg,9
62,NonSocial,popcorn.jpg,5
62,NonSocial,chocolate3border.jpg,4
62,Social,famreadingborderLum.jpg,5
62,Social,SnewIAPS30.jpg,7
62,NonSocial,NSadj64rjborder.jpg,4
62,Social,SnewIAPS14Lum.jpg,3
62,NonSocial,NSadj41rj.jpg,5
62,NonSocial,7502Lum.jpg,5
62,Social,Snews6.jpg,9
62,NonSocial,5982.jpg,9
62,Social,Snewes10.jpg,9
62,NonSocial,NSnew7.jpg,8
62,Social,Snews22.jpg,7
62,NonSocial,7200.jpg,6
62,Social,Snews2Lum.jpg,4
62,Social,Snews24.jpg,5
63,Social,smile1.jpg,5
63,Social,SnewIAPS35.jpg,6
63,NonSocial,NSnew14.jpg,
63,NonSocial,5982.jpg,8
63,NonSocial,ferrari2.jpg,7
63,NonSocial,NSadj41rj.jpg,8
63,NonSocial,5480.jpg,7
63,NonSocial,NSnew12.jpg,5
63,NonSocial,7430Lum.jpg,7
63,NonSocial,cake2.jpg,7
63,NonSocial,7350.jpg,8
63,NonSocial,popcorn.jpg,4
63,Social,Snewes8black.jpg,6
63,NonSocial,7270Lum.jpg,8
63,Social,Snewes42.jpg,5
63,NonSocial,ring2Lum.jpg,6
63,Social,SnewIAPS14Lum.jpg,5
63,Social,Snews7.jpg,8
63,Social,SnewIAPS30.jpg,5
63,NonSocial,8503.jpg,8
63,Social,SnewIAPS27.jpg,6
63,Social,Snewes10.jpg,4
63,Social,8496.jpg,8
63,Social,5628.jpg,8
63,Social,Snewes38border.jpg,3
63,Social,SnewIAPS28.jpg,5
63,Social,SnewIAPS31.jpg,6
63,Social,SnewIAPS8.jpg,4
63,Social,wedding3.jpg,6
63,NonSocial,8531Lum.jpg,6
63,Social,SnewIAPS13.jpg,4
63,Social,Snews26.jpg,5
63,Social,2165.jpg,4
63,NonSocial,5760Lum.jpg,5
63,Social,Snews6.jpg,5
63,Social,5830.jpg,6
63,NonSocial,choco9border.jpg,7
63,NonSocial,NSnew3Lum.jpg,5
63,NonSocial,pizza3.jpg,7
63,NonSocial,7400.jpg,7
63,NonSocial,NSadj1ns1rj.jpg,8
63,NonSocial,NSadj64rjborder.jpg,8
63,Social,family.jpg,4
63,NonSocial,NSadj34rjborderLum.jpg,8
63,Social,wedding.jpg,5
63,Social,family2.jpg,6
63,NonSocial,5779.jpg,5
63,NonSocial,NSadj36apaintrj.jpg,8
63,Social,Snews5.jpg,5
63,Social,Snews27.jpg,5
63,Social,smile6.jpg,4
63,NonSocial,cake8borderLum.jpg,8
